For,ITER,Var_lst
Module,BODY,Func_cycpattern_check
IfExp,ORELSE,Var_i
Assign,TARGETS,Var_prod
Var_results,CTX,Store
Subscript,VALUE,Var_my_tri
Var_start,CTX,Store
Compare,LEFT,Const_.
Const_Given a non-empty li...,VALUE,Val_Given a non-empty li...
Tuple,ELTS,Var_month
arguments,ARGS,Arg_l2
Var_dict1,CTX,Store
BinOp,LEFT,Const_3
Func_fizz_buzz,BODY,For
Const_Return only positive...,VALUE,Val_Return only positive...
Arg_shift,ARG,Val_shift
Assign,TARGETS,Var_div
Doc_Given_two_positive_i,IMPLEMENTED_BY,Func_generate_integers
Assign,TARGETS,Var_total
Attribute,ATTR,Val_join
Func_sum_squares,BODY,Expr
For,BODY,Assign
Assign,TARGETS,Var_my_arr
Module,BODY,Func_is_palindrome
Expr,VALUE,Const_     Write a functio...
Func_encode_cyclic,BODY,Return
"Doc_""_____This_function_",IMPLEMENTED_BY,Func_sum_squares
Expr,VALUE,Const_Return 2^n modulo p ...
Var_extensions,ID,Val_extensions
Compare,COMPARATORS,Var_b
Tuple,ELTS,Var_idx
UnaryOp,OPERAND,Var_switch
Compare,LEFT,Var_month
Subscript,SLICE,Tuple
HumanEval_94,HAS_DOCSTRING,Doc_You_are_given_a_list
Const_.,VALUE,Val_.
Const_     You are given a...,VALUE,Val_     You are given a...
Func_is_happy,BODY,If
Func_largest_divisor,NAME,Val_largest_divisor
Var_my_tri,CTX,Store
Attribute,VALUE,Var_value
Expr,VALUE,Const_Given a list of stri...
Assign,TARGETS,Var_min_index
Doc_You_are_given_a_list,IMPLEMENTED_BY,Func_sum_squares
Arg_music_string,ARG,Val_music_string
For,TARGET,Var_i
Func_choose_num,BODY,If
Const_Nine,VALUE,Val_Nine
Attribute,VALUE,Call
Var_test,ID,Val_test
Const_     Given two posit...,VALUE,Val_     Given two posit...
Var_is_prime,CTX,Store
Dict,VALUES,Const_2
Func_words_string,BODY,Expr
Func_get_odd_collatz,BODY,Expr
Func_longest,BODY,Assign
Func_is_prime,BODY,If
Func_any_int,BODY,If
Const_,VALUE,Val_
Var_group,CTX,Store
Const_ Find the shortest p...,VALUE,Val_ Find the shortest p...
Func_prime_fib,BODY,Assign
Var__,CTX,Store
HumanEval_120,HAS_DOCSTRING,Doc_Given_an_array_arr_o
Const_You have to write a ...,VALUE,Val_You have to write a ...
Subscript,SLICE,Const_1
For,ITER,Var_sorted_arr
Const_Earth,VALUE,Val_Earth
Assign,TARGETS,Var_x
Func_can_arrange,NAME,Val_can_arrange
Dict,VALUES,Const_Eight
Func_maximum,BODY,If
Func_maximum,NAME,Val_maximum
Const_o|,VALUE,Val_o|
Func_fizz_buzz,BODY,Assign
keyword,VALUE,Const_True
Var_fibfib,ID,Val_fibfib
Var_min_number,CTX,Store
Const_101,VALUE,Val_101
Func_unique_digits,BODY,Expr
HumanEval_140,HAS_DOCSTRING,"Doc_Given_a_string_text,"
keyword,ARG,Val_sep
Compare,LEFT,Var_p
Func_intersperse,BODY,Expr
Func_triples_sum_to_zero,BODY,Expr
Expr,VALUE,Const_     You're a hungry...
Func_solution,BODY,Return
Func_exchange,BODY,Expr
Func_pluck,ARGS,arguments
Doc_Given_a_list_of_stri,IMPLEMENTED_BY,Func_odd_count
Func_string_xor,BODY,Expr
Assign,VALUE,IfExp
Var_product,CTX,Store
Var_prod_value,CTX,Load
Func_special_factorial,NAME,Val_special_factorial
Var_math,ID,Val_math
Var_num,CTX,Load
Subscript,VALUE,Var_extensions
Assign,TARGETS,Var_largest
Var_is_palindrome,CTX,Load
Func_iscube,BODY,Return
Assign,TARGETS,Var_product
comprehension,ITER,Var_nums
Func_change_base,BODY,Return
Arg_file_name,ARG,Val_file_name
Compare,COMPARATORS,Const_lower
Func_valid_date,BODY,Try
Expr,VALUE,Const_ Find how many times...
Attribute,ATTR,Val_swapcase
Return,VALUE,Var_out
Var_month,CTX,Store
Slice,LOWER,Var_beginning_of_suffix
Func_monotonic,ARGS,arguments
Call,ARGS,Var_month
Func_poly,ARGS,arguments
Call,FUNC,Var_floor
Func_special_factorial,BODY,Assign
Tuple,ELTS,Var_c
HumanEval_146,HAS_DOCSTRING,Doc_Write_a_function_tha
Func_string_to_md5,BODY,Import
Func_is_nested,BODY,For
Const_The FibFib number se...,VALUE,Val_The FibFib number se...
Call,ARGS,Var_min_value
HumanEval_65,HAS_DOCSTRING,Doc_Circular_shift_the_d
Func_truncate_number,RETURNS,Var_float
Func_concatenate,ARGS,arguments
Func_circular_shift,NAME,Val_circular_shift
Func_longest,BODY,If
Const_six,VALUE,Val_six
Func_words_in_sentence,ARGS,arguments
Func_is_bored,BODY,Assign
Func_skjkasdkd,BODY,While
IfExp,TEST,Var_smallest
Dict,VALUES,Const_6
Const_ ,VALUE,Val_ 
Attribute,ATTR,Val_encode
Subscript,VALUE,Var_closing_bracket_index
Arg_words,ARG,Val_words
comprehension,ITER,Var_values
Func_words_in_sentence,BODY,Return
